0A007X0,AP Research
0A017X0,AP Seminar
0A027X0,AP Computer Science Principles
0C002X0,Comm College Course Other Content
0C015X0,COM231 Public Speaking
0C035X0,HUM115 Critical Thinking
0C045X0,COM160 Small Group Communication
0C055X0,COM110 Introduction to Communication
0C065X0,PHI215 Philosophical Issues
0C075X0,PHI240 Introduction to Ethics
0C085X0,COM120 Intro Interpersonal Com
0C095X0,HUM110 Technology and Society
0C105X0,HUM130 Myth in Human Culture
0C115X0,REL110 World Religions
0C125X0,HUM121 The Nature of America
0C135X0,HUM122 Southern Culture
0C155X0,REL211 Intro to Old Testament
0C165X0,REL221 Religion in America
0C175X0,REL212 Introduction to New Testament
0C185X0,HUM120 Cultural Studies
0C195X0,HUM150 American Women's Studies
